"time","sut.crane_angle","sut.desired_angle","sut.m_load","sut.control_force"
0,0,0,5,0
0.01,-2.2679000030750956e-5,0,5,0.686622429323091
0.02,-9.042321591924778e-5,0,5,1.3812491568181022
0.03,-2.029031362501432e-4,0,5,2.083669471117004
0.04,-3.597572333117564e-4,0,5,2.7936564344541726
0.05,-5.606022702490303e-4,0,5,3.5109740937425333
0.06,-8.050758595868964e-4,0,5,4.235405738048074
0.07,-0.0010928039408656862,0,5,4.966727993970436
0.08,-0.001423344866109844,0,5,5.704684293404348
0.09,-0.0017962988627818301,0,5,6.449038905975148
0.1,-0.0022111915548268233,0,5,7.199532345610432
0.11,-0.0026675933131236748,0,5,7.955918170207013
0.12,-0.003165033222857899,0,5,8.717953662019433
0.13,-0.003703061405115081,0,5,9.485391827101427
0.14,-0.004281210533043472,0,5,10.258001714749563
0.15,-0.004899021485133069,0,5,11.035542733003384
0.16,-0.005556015186407682,0,5,11.817779849165307
0.17,-0.006251713911895097,0,5,12.604478240951327
0.18,-0.006985635339428956,0,5,13.395404280688075
0.19,-0.007757291036884975,0,5,14.190325928414234
0.2,-0.008566181729044527,0,5,14.98900817837906
0.21,-0.009411807051716018,0,5,15.791220484853861
0.22,-0.01029366049082151,0,5,16.59673290925926
0.23,-0.011211227311128962,0,5,17.40531409075981
0.24,-0.012163979519238971,0,5,18.216726196893596
0.25,-0.013151392742467596,0,5,19.030741492182244
0.26,-0.014172932777520247,0,5,19.847129134071267
0.27,-0.015228066595590733,0,5,20.665663695222964
0.28,-0.01631625407310046,0,5,21.48611956000898
0.29,-0.01743694411039738,0,5,22.30826829442035
0.3,-0.018589582755090484,0,5,23.13188413292509
0.31,-0.019773625903527253,0,5,23.956749274616946
0.32,-0.0209885076536754,0,5,24.782639251010934
0.33,-0.022233662878464813,0,5,25.609333362941634
0.34,-0.023508526356788084,0,5,26.436613841357225
0.35,-0.02481253527785522,0,5,27.26426677170974
0.36,-0.026145111074889357,0,5,28.092075388533246
0.37,-0.027505675694773298,0,5,28.919826080784347
